nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004,ratio_RNAPII_to_DNA,cell_cycle,ratio_RNAPII_to_DNA_MvsI,RNAPII_abs_MvsI
MAX_IF43b-2_012_thumb0006-0464,85.331,443.095,39.878,168.492,83.0,455.0,40.0,143.0,25338.0,25338.0,25338.0,25338.0,2162116.878,11227141.11,1010428.764,4269250.296,0.363,0.027,5.14,3.954,0.102,-0.772,58.712,21.401,5.192661518088386,I,0.6718592638083404,1.2426947586266859
MAX_IF43b-2_003_thumb0013-0930,49.021,346.562,11.142,174.718,49.0,343.0,11.0,144.0,19179.0,19179.0,19179.0,19179.0,940173.759,6646712.598,213692.418,3350916.522,-0.014,0.173,1.371,3.637,0.247,-0.896,9.013,16.466,7.069664021541788,I,0.9147176738440607,0.9719603717920118
MAX_IF43b-2_003_thumb0002-0128,62.212,428.578,38.683,183.426,62.0,424.0,32.0,159.0,9776.0,9776.0,9776.0,9776.0,608184.512,4189778.528,378165.008,1793172.576,-0.108,0.317,3.254,3.768,0.104,-0.67,12.332,18.257,6.888992477335561,I,0.8913412511254472,1.2019806909640318
MAX_IF43b-2_003_thumb0003-0242,78.275,478.709,45.365,191.664,79.0,478.0,40.0,160.0,28283.0,28283.0,28283.0,28283.0,2213851.825,13539326.647,1283058.295,5420832.912,-0.104,0.262,2.147,4.416,-0.402,-0.499,6.338,28.154,6.115732992654103,I,0.7912920670411057,1.34257702119731
MAX_IF43b-2_003_thumb0004-0282,50.841,438.332,44.284,192.483,50.0,449.0,44.0,157.0,13592.0,13592.0,13592.0,13592.0,691030.872,5957808.544,601908.128,2616228.936,0.217,0.003,2.919,3.739,0.812,-0.641,16.467,18.876,8.621624279616844,I,1.1155200702294052,1.2293365507133964
MAX_IF43b-2_003_thumb0007-0504,63.575,497.116,46.057,188.615,64.0,506.0,44.0,157.0,18789.0,18789.0,18789.0,18789.0,1194510.675,9340312.524,865364.973,3543887.235,-0.161,0.059,2.298,4.767,0.14,-1.043,10.191,34.625,7.819362957137239,I,1.0117184456433526,1.3942008996478485
MAX_IF43b-2_003_thumb0008-0586,101.102,352.172,40.881,190.65,108.0,368.0,40.0,166.0,14011.0,14011.0,14011.0,14011.0,1416540.122,4934281.892,572783.691,2671197.15,-0.715,0.319,0.909,1.797,-0.274,0.44,1.163,3.673,3.483333663033372,I,0.45069565622408747,0.9876940577868791
MAX_IF43b-2_003_thumb0009-0724,62.175,543.801,25.24,192.982,63.0,538.0,24.0,154.0,29303.0,29303.0,29303.0,29303.0,1821914.025,15935000.703,739607.72,5654951.546,-0.14,0.284,2.234,5.529,0.079,-0.597,19.638,38.824,8.746296743063933,I,1.1316509790546678,1.5251326519955097
MAX_IF43b-2_003_thumb0012-0765,54.904,462.415,25.014,171.49,55.0,473.0,23.0,147.0,20442.0,20442.0,20442.0,20442.0,1122347.568,9452687.43,511336.188,3505598.58,-0.166,0.132,2.904,5.675,0.267,-0.863,12.316,49.485,8.422246102287628,I,1.089723265455354,1.2968792173469774
MAX_IF43b-2_007_thumb0002-0167,48.824,336.663,39.09,178.213,48.0,350.0,41.0,146.0,24483.0,24483.0,24483.0,24483.0,1195357.992,8242520.229,957040.47,4363188.879,0.202,0.083,0.743,4.567,-0.262,-0.618,3.378,27.009,6.895440766835983,I,0.8921755714487505,0.9441978481443842
