 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
66,MAX_IF43b-2_001_thumb_w1405-0004:0006-0559,5456,242.071,88.690,163,143,632,955.216,563.874,952.296,562.912,302.777,910,508,85,103,96.856,71.723,85.645,0.748,104.393,1320741.000,212,1.045,0.365,100,1320741.000,1,945,508,99.372,73.671,1.350,0.741,0.927
67,MAX_IF43b-2_001_thumb_w1405-0004:0007-0691,26329,159.633,69.924,133,119,1480,542.212,695.290,542.107,695.516,619.813,449,604,194,175,195.763,171.243,4.042,0.861,202.805,4202987.000,139,5.690,49.633,100,4202987.000,1,456,750,29.219,172.282,1.143,0.875,0.983
68,MAX_IF43b-2_001_thumb_w1405-0004:0008-0818,7297,151.131,76.277,125,119,875,190.101,817.541,187.057,817.130,352.735,147,759,85,119,117.478,79.086,94.399,0.737,120.669,1102806.000,129,4.857,26.960,100,1102806.000,1,174,878,80.460,76.459,1.485,0.673,0.956
69,MAX_IF43b-2_001_thumb_w1405-0004:0009-0837,12835,175.610,103.780,130,120,997,103.479,837.518,104.907,835.897,468.818,44,769,129,137,145.413,112.384,116.799,0.734,160.431,2253956.000,138,3.649,15.251,100,2253956.000,1,46,782,140.057,112.910,1.294,0.773,0.926
70,MAX_IF43b-2_001_thumb_w1405-0004:0010-1005,12269,177.391,48.637,140,129,475,401.380,1006.393,400.946,1007.598,430.375,339,940,125,131,128.681,121.396,85.304,0.832,135.248,2176405.000,157,1.596,2.846,100,2176405.000,1,362,950,128.395,123.248,1.060,0.943,0.961
71,MAX_IF43b-2_001_thumb_w1405-0004:0011-1141,7498,169.365,86.302,125,120,731,111.336,1138.048,108.616,1141.010,411.362,76,1078,84,126,117.556,81.210,90.294,0.557,128.082,1269898.000,136,3.186,11.042,100,1269898.000,1,89,1204,79.655,84.000,1.448,0.691,0.882
72,MAX_IF43b-2_001_thumb_w1405-0004:0012-1148,6688,169.958,86.817,136,120,1084,42.776,1147.420,43.184,1149.359,347.806,1,1083,74,131,124.430,68.436,76.884,0.695,136.971,1136678.000,139,4.309,24.948,100,1136678.000,1,24,1214,73.020,74.000,1.818,0.550,0.955
73,MAX_IF43b-2_001_thumb_w1405-0004:0013-1184,5052,151.326,21.494,133,125,267,920.608,1180.007,919.462,1179.698,292.049,874,1144,99,81,100.701,63.876,21.162,0.744,99.609,764501.000,144,1.297,1.612,100,764501.000,1,874,1191,6.340,65.484,1.576,0.634,0.938
74,MAX_IF43b-2_001_thumb_w1405-0004:0014-1225,5155,142.443,17.331,131,125,242,946.071,1229.619,947.046,1230.508,296.434,892,1183,102,84,102.807,63.843,23.969,0.737,102.825,734293.000,134,1.649,2.512,100,734293.000,1,892,1228,7.263,66.457,1.610,0.621,0.927
75,MAX_IF43b-2_001_thumb_w1405-0004:0015-1271,1154,135.990,31.524,125,121,378,462.156,1272.445,462.523,1271.967,141.882,441,1253,45,37,43.682,33.637,27.525,0.720,49.244,156932.000,126,4.573,23.659,100,156932.000,1,443,1289,29.168,36.503,1.299,0.770,0.910
