 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
11,MAX_IF43b-2_001_thumb_w1405-0001-1,7498,255.0000,0.0000,255,255,255,111.3360,1138.0480,111.3360,1138.0480,411.3620,76,1078,84,126,117.5560,81.2100,90.2940,0.5570,128.0820,1911990.0000,255,,,100,1911990.0000,1,89,1204,79.6550,84.0000,1.4480,0.6910,0.8820
12,MAX_IF43b-2_001_thumb_w1405-0001-1,6688,255.0000,0.0000,255,255,255,42.7760,1147.4200,42.7760,1147.4200,347.8060,1,1083,74,131,124.4300,68.4360,76.8840,0.6950,136.9710,1705440.0000,255,,,100,1705440.0000,1,24,1214,73.0200,74.0000,1.8180,0.5500,0.9550
13,MAX_IF43b-2_001_thumb_w1405-0001-1,5052,255.0000,0.0000,255,255,255,920.6080,1180.0070,920.6080,1180.0070,292.0490,874,1144,99,81,100.7010,63.8760,21.1620,0.7440,99.6090,1288260.0000,255,,,100,1288260.0000,1,874,1191,6.3400,65.4840,1.5760,0.6340,0.9380
14,MAX_IF43b-2_001_thumb_w1405-0001-1,5155,255.0000,0.0000,255,255,255,946.0710,1229.6190,946.0710,1229.6190,296.4340,892,1183,102,84,102.8070,63.8430,23.9690,0.7370,102.8250,1314525.0000,255,,,100,1314525.0000,1,892,1228,7.2630,66.4570,1.6100,0.6210,0.9270
15,MAX_IF43b-2_001_thumb_w1405-0001-1,1154,255.0000,0.0000,255,255,255,462.1560,1272.4450,462.1560,1272.4450,141.8820,441,1253,45,37,43.6820,33.6370,27.5250,0.7200,49.2440,294270.0000,255,,,100,294270.0000,1,443,1289,29.1680,36.5030,1.2990,0.7700,0.9100
15,MAX_IF43b-2_001_thumb_w1405-0001:0001-0180,-1230059,58.0310,10.7350,57,30,-72,-442.8020,-560.0250,-442.7340,-554.1030,-12638.5570,14,112,-859,-1295,-1343.0630,-929.3650,-71.1590,0.7050,-1594.0660,-155745045.0000,58,-4.4040,-83.6300,0,-155745045.0000,0,21,214,-103.3190,-896.7250,-0.0550,0.0280,0.0960
16,MAX_IF43b-2_001_thumb_w1405-0001:0002-0218,-1230088,61.7620,13.0700,57,31,-62,-29.9350,-522.5880,-29.5910,-516.0540,-12657.0430,429,152,-867,-1299,-1357.5390,-918.1440,-83.0330,0.7660,-1602.9170,-155691220.0000,61,-4.3570,-83.4850,0,-155691220.0000,0,429,223,-120.8350,-893.3280,-0.2820,0.1700,0.1260
17,MAX_IF43b-2_001_thumb_w1405-0001:0003-0385,-1223739,51.6540,8.3800,46,32,-78,-42.9290,-360.6110,-42.6660,-354.5910,-12547.8290,402,303,-844,-1268,-1333.7490,-890.1790,-75.7550,0.7070,-1571.6000,-154714998.0000,50,-4.0110,-83.0510,0,-154714998.0000,0,405,409,-103.4850,-860.4440,-0.3360,0.2120,0.1060
18,MAX_IF43b-2_001_thumb_w1405-0001:0004-0474,-1235003,93.4050,27.7110,107,32,-22,-288.5960,-265.3350,-288.1770,-259.3790,-12723.1850,178,415,-892,-1314,-1371.9770,-949.5770,-59.3010,0.7030,-1620.7830,-156274229.0000,100,-5.0110,-83.9730,0,-156274229.0000,0,181,499,-96.4340,-923.6210,-0.0650,0.0330,0.1060
19,MAX_IF43b-2_001_thumb_w1405-0001:0005-0535,-1240889,120.7590,42.8910,164,32,25,365.3950,-209.9150,365.5180,-203.3850,-12853.3100,867,487,-946,-1336,-1414.7480,-982.8820,-9.3890,0.6860,-1663.2890,-157435114.0000,132,-5.0970,-84.2150,0,-157435114.0000,0,894,487,-26.6870,-955.4010,-0.0210,0.0110,0.0950
20,MAX_IF43b-2_001_thumb_w1405-0001:0006-0559,-1240499,108.3640,42.1140,165,32,10,418.4070,-176.5290,416.6630,-169.6020,-12836.6820,910,508,-939,-1329,-1413.4850,-978.6350,-1.5560,0.6570,-1656.0610,-157405969.0000,111,-4.7500,-84.5220,0,-157405969.0000,0,945,508,-26.1960,-950.3290,-0.0880,0.0460,0.0770
21,MAX_IF43b-2_001_thumb_w1405-0001:0007-0691,-1219626,40.7520,4.5370,38,33,-94,5.4030,-45.1130,4.7850,-39.0930,-12519.6460,449,604,-830,-1257,-1314.5780,-879.1150,-83.1590,0.7700,-1557.6490,-154265738.0000,39,-3.4080,-81.4330,0,-154265738.0000,0,456,750,-96.3490,-851.7180,-0.2950,0.1800,0.1330
22,MAX_IF43b-2_001_thumb_w1405-0001:0008-0818,-1238658,38.8820,4.7180,36,32,-108,-346.7080,77.1380,-347.5420,82.1150,-12786.7240,147,759,-939,-1313,-1392.8630,-971.2720,7.1980,0.6460,-1639.7850,-157478999.0000,39,-4.2120,-83.7720,0,-157478999.0000,0,174,878,-45.1080,-947.5410,0.0470,-0.0220,0.1060
