nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004,ratio_RNAPII_to_DNA,cell_cycle,ratio_RNAPII_to_DNA_MvsI,RNAPII_abs_MvsI
MAX_IF43b-1_004_thumb0007-0292,89.354,28.367,23.078,149.954,98.0,39.0,24.0,140.0,7128.0,7128.0,7128.0,7128.0,636915.312,202199.976,164499.984,1068872.112,-0.382,0.39,1.686,1.802,-0.92,-0.252,4.418,3.619,0.3174676007789243,M,0.08619120221732762,0.160957874738387
MAX_IF43b-1_009_thumb0005-0262,167.307,91.913,19.026,188.929,173.0,110.0,22.0,162.0,11931.0,11931.0,11931.0,11931.0,1996139.817,1096614.003,226999.206,2254111.899,-0.192,-0.016,0.27,1.659,-1.103,-1.03,-0.053,2.401,0.5493673307153915,M,0.14915106479245888,0.5215257567183474
MAX_IF43b-1_004_thumb0008-0348,76.879,18.103,22.951,140.316,76.0,28.0,23.0,135.0,4886.0,4886.0,4886.0,4886.0,375630.794,88451.258,112138.586,685583.976,0.165,0.463,1.253,4.402,-1.09,-0.37,1.981,30.463,0.23547392655991883,M,0.06393024286962606,0.10271866628085521
MAX_IF43b-1_011_thumb0028-1254,70.141,13.347,7.675,141.806,66.0,22.0,12.0,132.0,5712.0,5712.0,5712.0,5712.0,400645.392,76238.064,43839.6,809995.872,0.379,0.424,1.135,1.977,-0.931,-0.461,4.644,3.714,0.19028813390171223,M,0.051662478276331934,0.07573253266588821
MAX_IF43b-1_009_thumb0006-0289,131.79,47.685,23.025,152.426,129.0,58.0,25.0,143.0,5326.0,5326.0,5326.0,5326.0,701913.54,253970.31,122631.15,811820.876,0.073,0.714,0.322,1.765,-1.138,-0.002,-0.246,3.206,0.36182563168677445,M,0.09823423275827219,0.27057060164627855
MAX_IF43b-1_002_thumb0012-0752,82.082,101.693,16.393,156.226,83.0,107.0,15.0,143.0,7149.0,7149.0,7149.0,7149.0,586804.218,727003.257,117193.557,1116859.674,-0.079,0.575,3.327,1.71,-1.021,0.333,13.349,2.778,1.2389196169683976,M,0.33636179243216274,0.5770186891730105
MAX_IF43b-1_004_thumb0011-0464,126.196,42.705,23.386,163.253,134.0,52.0,24.0,147.0,12751.0,12751.0,12751.0,12751.0,1609125.196,544531.455,298194.886,2081639.003,-0.136,0.957,2.663,1.622,-0.979,0.93,12.322,2.329,0.3384021680560398,M,0.09187485471316334,0.24231346426138878
MAX_IF43b-1_002_thumb0013-0817,86.448,116.032,19.948,160.705,88.0,121.0,18.0,144.0,7031.0,7031.0,7031.0,7031.0,607815.888,815820.992,140254.388,1129916.855,0.007,0.675,2.01,2.043,-0.956,0.428,4.428,4.831,1.3422172866925783,M,0.36440670258340563,0.6583799528199851
MAX_IF43b-1_012_thumb0013-0468,77.978,51.474,15.799,151.818,80.0,57.0,15.0,143.0,8293.0,8293.0,8293.0,8293.0,646671.554,426873.882,131021.107,1259026.674,-0.032,1.442,1.698,1.787,-0.924,3.914,4.152,3.233,0.6601092615866013,M,0.1792170625013231,0.29206985737948077
MAX_IF43b-1_009_thumb0016-1096,75.661,34.732,14.939,141.977,71.0,45.0,17.0,136.0,4047.0,4047.0,4047.0,4047.0,306200.067,140560.404,60458.133,574580.919,0.217,0.673,1.19,2.085,-1.353,-0.539,2.133,4.83,0.45904759387266886,M,0.12462961226210124,0.19707367382570087
